;Koko väestö ;suomi ;ruotsi ;norja ;tanska ;saame ;venäjä ;viro ;somali ;englanti ;arabia ;kiina ;kurdi ;espanja ;saksa ;ranska ;turkki ;vietnam ;persia ;thai ;albania ;bengali ;italia ;portugali ;japani ;nepali ;puola ;urdu ;muu/tuntematon 
101;11938;9974;1184;5;5;1;134;66;18;126;22;19;4;47;61;46;8;3;7;11;2;1;20;19;20;0;9;1;126
102;23360;17781;3929;19;15;1;292;112;15;318;24;17;15;84;82;75;66;11;12;17;6;4;49;22;21;0;24;2;347
103;30300;24689;3000;17;10;3;407;194;107;367;85;102;34;153;117;132;43;15;26;35;13;24;51;44;67;10;32;13;510
104;14654;12207;1553;5;2;1;180;97;5;131;14;21;5;49;46;43;17;10;6;14;1;0;27;13;33;1;8;3;162
105;20412;16267;3001;3;7;5;211;79;1;163;19;61;20;46;71;47;51;9;4;18;4;5;20;22;22;6;15;5;230
201;15795;13293;1247;2;5;1;187;99;174;110;35;32;47;52;37;44;17;5;28;15;11;27;16;18;9;14;22;6;242
202;17348;14388;2025;3;11;5;134;133;49;112;39;14;11;35;51;67;23;6;11;12;1;8;24;13;9;0;14;5;145
203;26433;22311;1812;6;8;5;364;256;222;181;85;162;40;86;60;51;31;58;27;38;19;46;24;24;17;18;22;19;441
204;15502;13220;696;2;2;1;222;242;157;71;93;48;42;30;28;29;12;18;52;25;87;14;19;18;14;3;19;21;317
205;26729;22187;975;8;4;3;805;481;318;215;146;201;57;110;84;72;43;69;41;64;50;40;28;15;11;37;42;27;596
301;25919;23059;938;6;7;2;354;263;40;185;68;58;53;125;74;66;25;39;11;49;10;19;37;32;23;21;27;17;311
302;11687;10476;433;6;2;1;134;99;20;75;31;18;31;45;39;28;22;9;13;26;6;5;14;13;3;2;8;0;128
303;12586;11162;521;4;2;2;166;97;107;80;59;37;26;37;21;27;10;24;9;23;0;13;13;9;10;0;7;7;113
304;8601;7063;303;2;2;1;173;89;240;69;68;49;33;55;49;44;13;17;21;14;9;33;10;21;14;8;4;9;188
305;21475;18984;1138;6;6;1;184;148;121;131;70;56;36;62;63;24;18;21;27;30;14;21;28;23;18;11;16;7;211
401;8648;7489;371;0;1;1;155;116;114;51;30;39;17;6;10;12;22;10;13;13;7;10;4;5;2;8;8;7;127
402;6623;6168;287;0;0;0;36;25;0;19;1;3;3;6;14;3;3;3;1;10;1;0;0;3;1;0;5;0;31
403;8587;8084;268;0;1;0;49;14;19;33;8;9;9;8;15;6;4;2;3;8;0;0;4;2;7;0;1;10;23
404;13637;12251;520;1;0;1;177;105;86;72;54;36;25;15;19;21;11;9;15;16;6;2;11;3;4;0;9;3;165
405;3726;3491;135;0;0;0;20;12;12;10;2;3;3;3;7;1;3;0;7;0;0;1;1;0;0;0;0;1;14
501;21633;18067;494;1;5;1;721;422;276;108;147;186;97;73;75;58;67;44;67;34;45;45;24;17;30;5;23;20;481
502;8273;7008;213;0;0;0;266;139;106;47;49;28;47;26;4;20;18;32;22;14;5;29;5;8;3;13;3;10;158
503;28289;24751;787;5;3;4;662;355;357;94;177;66;116;45;21;24;73;52;46;51;34;46;18;16;14;19;14;24;415
504;11208;10060;307;2;1;0;185;104;52;44;46;47;38;12;21;9;24;30;15;15;6;22;4;5;6;6;5;6;136
505;18658;16635;360;3;3;2;446;255;87;75;64;63;54;22;27;15;41;40;43;26;36;16;34;10;0;5;8;27;261
506;5783;4326;86;0;1;0;462;242;182;17;41;50;32;11;1;8;9;85;15;14;26;3;2;0;0;12;12;3;143
601;3771;2833;707;2;1;2;56;30;2;20;6;13;7;5;6;2;5;4;5;0;1;2;4;2;1;1;3;10;41
602;26639;22548;1130;8;3;5;627;405;345;173;155;93;96;66;47;46;56;39;67;48;45;22;28;30;21;75;10;34;417
603;16618;14318;1142;2;3;0;396;181;30;71;53;15;42;31;45;20;23;19;17;23;6;5;14;4;9;4;8;5;132
701;21303;17441;1143;2;3;1;582;312;344;116;175;106;116;48;34;18;71;63;80;50;83;20;15;13;7;57;27;44;332
702;9679;7523;430;0;0;0;450;259;301;38;75;75;25;15;18;16;26;41;25;14;29;31;8;5;3;50;7;4;211
703;36600;27973;1226;2;7;2;2064;1199;714;238;383;236;297;87;48;70;128;209;202;85;157;110;32;48;41;84;24;33;901
704;35791;28043;1870;5;6;2;1662;721;750;204;287;170;279;91;67;55;191;132;132;95;116;98;30;31;15;41;27;53;618
801;2116;1595;451;0;0;0;30;6;0;13;1;1;0;0;4;0;0;0;0;1;0;0;1;0;0;0;0;0;13
