;Suomenkieliset;Ruotsinkieliset;Muun kieliset;Ulkomaalaiset;Ulkomaalaistaustaiset;H:gissä syntyneitä;Syntyneet lkm;Kuolleet lkm;Muutto alueelle lkm;Muutto alueelta lkm;Asukkaita/km2;Työpaikkoja/km2;Kerrosala/ha;Asukkaat yht;0-6-vuotiaat;7-15-vuotiaat;16-18-vuotiaat;19-24-vuotiaat;25-39-vuotiaat;40-64-vuotiaat;Yli 65-vuotiaat;Asuntokuntien lkm;Asuntokuntien keskikoko;1-hengen asuntokuntia;Perheiden lkm;Lapsiperheiden lkm;Perheiden keskikoko;15v täyttäneiden lkm;Enintään perusaste;Keskiaste;Alempi korkea-aste;Ylempi korkea-aste;Lukiota käyvät;Lukiota käyvien osuus 16-18-vuotiaista;Tulot/asukaseuroa;Tulot/yli 15-vuotiaat euroa;Tulot/asuntokunta euroa;Asuntojen keskikoko m2;Asumisväljyys m2/asukas;Asumistiheys huonetta/henki;Asuntoja yhteensä;Pientaloasuntoja;Vuokra-asuntoja;ARA-vuokra-asuntoja;Toimitilarakennukset yhteensä kerrosala 1000 m2;Liikerakennukset;Julkiset rakennukset;Teollisuusrakennukset;Muut rakennukset;Päiväkoteja;Lapsia päiväkotihoidossa yhteensä;Kokopäivähoidossa;Kokopäivähoidossa/100 lasta;Osapäivähoidossa;Osapäivähoidossa/100 lasta;Lapsia kokopäivä perhepäivähoidossa yht;Kokopäivä perhepäivähoidossa/100 lasta;Lapsia koti/yks.hoidon tuen piirissä;Suomenkielinen ala-aste koulut;Suomenkielinen ala-asteoppilaat;Suomenkielinen yläaste koulut;Suomenkielinen yläasteoppilaat;Ruotsinkielinen ala-aste koulut;Ruotsinkielinen ala-aste oppilaat;Ruotsinkielinen yläaste koulut;Ruotsinkielinen yläaste oppilaat;Lukio koulut;Lukio oppilaat;Erikoiskoulut;Erikoiskoulut oppilaat;Avohoitokäynnit yhteensä;Avohoitokäynnit yhteensä/asukas;Perusterveydenhuolto;Perusterveydenhuolto/asukas;Erikoissairaanhoito;Erikoissairaanhoito/asukas;Toimeentulotuen saajia;Toimeentulotuen saajia/1000 asukasta;Lastensuojelun asiakkaat;Lastensuojelun asiakkaita/1000 ;Kirjasto;Terveysasema;Leikkipuisto;Uimahalli;Muu sisäliikuntatila;Urheilukenttä;Kirkko;Posti;KELA:n toimisto;Apteekki;Alko;Päivittäistavarakaupat;Muut vähittäiskaupat;Ravintolat ja kahvilat;Puistoa ha;Metsää ha;Uimaranta kpl;Jalankulkuonnettomuuksia keskimäärin/vuosi;Työttömyysaste;Pitäaikaistyöttömyys;Nuorisotyöttömyys;Työllisyysaste
Total;488579;35198;59573;41735;62257;243687;6533;4957;37280;32116;2727;1814;2103;583350;39170;45678;17928;52767;146114;196902;84791;301815;2;148312;143281;70217;3;497907;151167;165965;100840;79935;11694;60;25882;29267;47969;63;34;1;325818;43060;145681;68911;18319;7503;4364;4565;1887;329;19566;18557;57;1009;3;1493;5;9825;87;24641;46;13714;18;2041;5;1147;38;14002;10;3988;4912955;8;3970410;7;942545;2;59062;101;8961;93;37;26;68;13;737;28;61;41;6;71;31;672;2555;1571;1918;4007;29;155;8;16;6;71
101;9758;1178;735;552;882;4586;128;83;1859;2079;5638;17455;12129;11671;710;679;245;879;3360;3984;1814;6384;1.83;3011;3134;1263;2.5;10345;1895;3012;2277;3161;203;73.7;37168;42178;67619;71.1;39.3;1.32;7506;11;2945;535;1731;1244;306;26;155;10;381;358;60.3;23;3.9;28;4.7;160;2;540;1;492;1;68;0;0;1;507;0;0;84658;7.3;68922;5.9;15736;1.3;374;32;59;37.9;1;0;0;0;28;0;4;2;0;8;5;49;296;193;19;0;0;24.4;4.7;17.8;1.4;75.8
102;17563;3930;1557;1310;2028;9243;253;142;4343;4547;3861;4277;4558;23050;1283;1153;455;2178;7727;7218;3036;13533;1.69;7448;5554;2164;2.5;20460;3654;6545;4448;5813;394;78;44261;49130;74053;64.4;38.1;1.28;16046;98;6309;0;1162;661;144;243;113;11;580;562;53.1;18;1.7;46;4.3;350;3;482;1;277;1;237;1;250;3;611;1;242;145300;6.3;115477;5;29823;1.3;838;36.4;129;47.4;2;1;1;0;33;1;4;3;0;5;4;47;291;165;46;29;3;10.4;5.5;15.1;2.1;75.9
103;24906;2976;2512;1936;2895;11070;359;182;5078;5333;7580;12325;10043;30394;1590;1552;678;3302;9989;9115;4168;17194;1.74;8960;7504;2854;2.5;26913;5400;8558;5899;7056;557;74.6;32778;36109;56298;63.7;37.3;1.29;19869;71;9036;1382;2202;1515;365;189;132;14;724;701;55.1;23;1.8;67;5.3;373;3;799;2;374;1;108;0;0;4;1404;3;770;222339;7.3;177991;5.9;44348;1.5;1492;49.1;235;65.7;1;0;2;1;52;0;5;1;1;7;2;59;530;274;53;1;1;19.2;5.5;14.8;2.6;75
104;12098;1576;828;714;1021;5183;170;121;2321;2558;7514;5222;6838;14502;683;504;215;1509;5046;4122;2423;9027;1.6;5256;3388;1123;2.4;13393;2374;4323;3093;3603;199;74.9;33698;36249;53427;57.2;36.4;1.34;10400;18;4587;440;465;142;298;10;14;8;296;286;53.9;10;1.9;21;4;180;1;320;1;260;1;82;1;229;2;439;0;0;124613;8.6;104115;7.2;20498;1.4;505;34.8;48;36.4;1;1;0;1;62;2;1;1;0;2;1;21;92;66;37;19;0;9;5.2;16.2;2.3;77.3
105;16068;2916;1082;885;1320;8199;279;129;2533;2465;5351;2174;3761;20066;1453;1155;387;1367;6122;6166;3416;11398;1.76;5957;5201;2201;2.6;17352;3276;4765;4458;4853;342;83.1;34515;39305;60143;62.4;35.7;1.43;12552;523;4065;297;427;163;45;194;25;10;707;686;58.1;21;1.8;37;3.1;377;1;560;1;244;1;167;0;0;1;337;0;0;148856;7.4;121518;6.1;27338;1.4;536;26.7;52;18.1;1;1;1;1;17;1;2;1;0;2;1;14;87;34;35;88;2;4.4;5.1;14.1;2.8;77.8
201;13310;1203;1189;810;1267;6169;167;139;2431;2681;3618;5055;3226;15702;981;1115;453;1637;4472;4878;2166;8980;1.72;5039;3631;1721;2.6;13712;2955;4693;3175;2889;338;69.1;25894;29712;44410;54.8;32.5;1.35;9910;163;4740;2045;681;111;501;36;34;10;501;469;57.1;32;3.9;29;3.5;244;2;562;1;388;0;0;0;0;2;443;2;964;130380;8.3;104890;6.7;25490;1.6;1287;82;229;95.4;1;1;2;0;40;0;3;1;0;2;1;14;35;52;31;235;2;5.8;6.4;13.1;3;74.3
202;14432;2022;874;677;1144;7502;181;183;2085;2050;3633;1413;2468;17328;1064;1467;548;1325;3897;5482;3545;9616;1.8;5060;4298;2106;2.7;14750;3026;4160;3747;3817;428;79.5;34815;40666;62341;68;37.8;1.52;10602;723;4127;901;252;143;97;0;11;8;501;457;51.5;44;5;38;4.3;289;2;591;1;515;1;205;1;196;2;585;1;578;164488;9.5;137777;8;26711;1.5;666;38.4;135;46.3;1;1;2;0;25;1;3;1;0;2;1;17;41;26;58;85;3;2.6;5.1;14;3.5;74.2
203;22048;1805;2055;1607;2268;9650;248;281;3963;4125;4728;1625;2879;25908;1355;1334;624;2856;7124;7882;4733;15550;1.64;9251;5669;2475;2.5;23470;6451;7825;5234;3960;453;65.9;24517;26732;39840;52.3;32.3;1.36;16813;315;7940;3658;437;233;151;13;41;13;667;606;54.1;61;5.4;34;3;353;2;664;2;680;1;108;0;0;4;1753;1;701;254096;9.8;213879;8.3;40217;1.6;1904;73.5;244;79.1;2;1;4;1;28;3;2;3;0;3;0;21;52;29;52;135;0;4;7;14.7;5.2;73.9
204;13289;677;1499;1114;1563;6254;188;105;1905;1887;2354;4179;3279;15465;1155;1249;457;1325;3901;5366;2012;8056;1.91;3740;4088;2022;2.7;13110;3933;4533;2885;1759;313;64.3;24216;28626;46075;61.6;31.9;1.29;8574;1261;3955;1998;1503;395;111;863;133;6;527;486;50.5;41;4.3;45;4.7;323;3;565;1;170;1;20;0;0;0;0;0;0;126416;8.2;101876;6.6;24540;1.6;1334;86.3;303;112.1;1;1;3;0;21;2;2;2;0;3;2;19;66;28;49;116;0;3.6;7.3;12.9;5.7;74.8
