;Vas.;SDP;Kesk.;SKL;RKP;Kok.;Vihreät;PS;Muut;Äänestys-%
101;5.1;12.8;5;1.9;8.8;38.7;24.6;1.3;1.9;79.9
102;4;9.9;4.4;1.1;15.5;38.9;23.2;1.3;1.9;78.5
103;4.6;12.2;5.5;1.5;9;39.4;24.4;1.5;1.9;76.6
104;3.7;11.7;5.7;1.8;9.7;40.5;23.7;1.2;2;78.1
105;2.5;11.5;5.6;1.8;13.3;44.9;17.5;1.5;1.2;80.6
201;5.4;15.7;6.4;2.1;7.2;31.9;26.6;2;2.8;76
202;2.8;11.4;6.2;2.3;11.2;46;16.6;1.5;1.9;80.1
203;5.6;19.2;8.4;2.8;6.6;30.7;21.1;2.5;3;73.6
204;5.5;22.7;8.8;3.5;4.5;30.2;18.2;3.4;3.2;71.4
205;7.7;25.3;8.2;3;4.2;23.7;18.6;4;5.2;68.4
301;11.4;20.4;5.9;2.2;2.6;21.1;30.1;2.2;4.1;70.7
302;12.6;20.2;5.4;2.1;2.6;17.4;31.8;3;4.8;67
303;13;22.5;5.1;2.4;3.3;15.6;30.6;2.5;5;69
304;11.5;26.3;6.7;2.4;3.4;21.4;20.8;3;4.6;67.6
305;11.5;22.9;4.8;1.7;3.9;18.3;29.8;2.4;4.7;75
401;8.9;28.8;6.4;2.4;4.1;22.4;18.1;3.2;5.8;67.3
402;3.1;16.6;7;2.1;4.1;50.4;12.7;2.1;1.9;83.6
403;3.5;19.4;8.1;2.5;3.3;42.8;16.5;2.1;1.8;82.5
404;6.8;22.8;9;2.5;3.2;31.4;18.8;2.2;3.2;75.2
405;2.9;18.9;7.8;2;4.6;45.9;14.7;1.8;1.5;81.5
501;8.7;26.4;8.9;3.2;2.1;20.9;21.6;4.1;4.1;69.6
502;6.7;29.7;10.1;2.8;2.8;23.8;15.5;3.8;4.7;66.9
503;7.5;27.7;8.8;3;2.5;26.3;16.4;4;3.8;69
504;6.8;29.6;9.6;3.2;2.7;26.3;13.8;4.4;3.6;70.7
505;7.4;26.6;9.1;3.9;2.1;27.6;16.3;4.1;2.9;72.1
506;9.8;39.7;8.2;3.8;1.2;11.7;8.6;11.2;5.9;56.8
601;2.4;10;5.6;1.5;18.4;44.8;14.2;1.4;1.7;81.5
602;8.3;24.4;5.7;2.5;3.9;26.5;21.3;3.2;4.1;70.2
603;5;20.4;6.9;2.5;6.1;39.2;14.5;2.8;2.6;77.4
701;6.2;26.8;6.8;2.6;5.6;30.3;15;3.3;3.4;71.3
702;8.3;35.5;7.1;3.8;3.7;20.6;11.4;4.7;4.8;66.7
703;8.8;34.6;7.8;3.5;3.1;19.3;12.2;5.8;4.9;63.9
704;6.8;27.4;7.8;3.2;5.1;26.1;15.8;4.1;3.7;68.2
